0x5ba2e20e: aabbMax
0x503e8dd3: Animal_Insect_KimoP
0xfab0c39b: Animal_Insect_Lizard
0x557e6ad1: Animal_Insect_M
0xcc773b6b: Animal_Insect_N
0xbb700bfd: Animal_Insect_O
0x36780608: Animal_Insect_P
0x417f369e: Animal_Insect_Q
0xd8766724: Animal_Insect_R
0xaf7157b2: Animal_Insect_S
0x3115c211: Animal_Insect_T
0x38a38e3a: Animal_Insect_X
0xd6adef16: Animal_Insect_Z
0xac009178: Animal_Kokko
0x1dcfde4e: Animal_Kokko_A
0x84c68ff4: Animal_Kokko_B
0x5b8ed0db: Animal_LittleBird
0x993eb7ec: Animal_LittleBird_A
0x0037e656: Animal_LittleBird_B
0x7730d6c0: Animal_LittleBird_C
0xe9544363: Animal_LittleBird_D
0x9e5373f5: Animal_LittleBird_E
0x075a224f: Animal_LittleBird_F
0x4eb4af7b: Animal_Lizard
0x4687bd43: Animal_Moose
0x8063cf07: Animal_Pigeon
0x39bbebe7: Animal_Pigeon_A
0xa0b2ba5d: Animal_Pigeon_B
0x263a41d4: Animal_Pigeon_B_Swarm
0x9da7ee58: Animal_Pigeon_B_Swarm_HeapMeasure
0xe8b8693c: Animal_Pigeon_GlideModel
0x1cb89de6: Animal_Pigeon_Swarm
0x391fafcf: Animal_Pigeon_Swarm_HeapMeasure
0xa0a9bf92: Animal_Ptarmigan_A
0x39a0ee28: Animal_Ptarmigan_B
0x9dd6aca2: Animal_Rabbit_Gold
0x22d47c19: Animal_Rhino
0xbf9294b9: Animal_Rhino_A
0x80507b50: Animal_RupeeRabbit_A
0xef9520d1: Animal_Salmon
0x08178144: Animal_SeaBream
0x785278f3: Animal_Sheep
0x1c6e1140: Animal_Sheep_A
0x745a04de: Animal_Shell_A
0xed535564: Animal_Shell_B
0x1b7be850: Animal_Skl_Horse
0xbfd22766: Animal_Squirrel
0xeb8ce4fa: Animal_Squirrel_A
0xac624b86: Animal_Sunazarashi
0xf1f629d5: Animal_Sunazarashi_A
0x68ff786f: Animal_Sunazarashi_B
0x1ff848f9: Animal_Sunazarashi_C
0x8fd55edf: Animal_Sunazarashi_C_Battle
0xf00148c5: Animal_Sunazarashi_Chief
0x94ee0c5d: Animal_SunazarashiSP_A
0x0de75de7: Animal_SunazarashiSP_B
0x7ae06d71: Animal_SunazarashiSP_C
0xb5ee4086: Animal_Trout
0x8817d468: Animal_Trout_Glow
0xb77b9ed0: Animal_WildDuck_A
0xa6cc4f9b: Animal_WildGoat_A
0xc2090f19: Animal_WLink
0x983d4a3f: Animal_Wolf
0xb3f638ed: Animal_Wolf_A
0x2aff6957: Animal_Wolf_B
0x5df859c1: Animal_Wolf_C
0x5b8e26cc: animalUnitBasePlayRate
0x77a69256: Area
0x93447ae7: AreaCulling_InnerHide
0x83ddd10f: AreaCulling_InnerOn
0x239e51d8: AreaCulling_OuterNPCMementary
0xc658f8b8: AreaManagementForOthers
0x7ef8352b: AreaManagementForPlayer
0x68d97aaf: Armor_001
0x836d8e16: Armor_001_Head
0x6bb9baff: Armor_001_Head_A
0xf2b0eb45: Armor_001_Head_B
0x03d38f65: Armor_001_Lower
0x63162bda: Armor_001_Upper
0x05f9fcb8: Armor_002_Head
0x7c3feca6: Armor_002_Head_B
0x323b95f8: Armor_002_Lower
0x52fe3147: Armor_002_Upper
0xcea52f1d: Armor_003_Head
0xb095ec38: Armor_003_Head_B
0x944c9e4c: Armor_003_Lower
0xf4893af3: Armor_003_Upper
0xd3a01fa5: Armor_004_Head
0xba50e521: Armor_004_Head_B
0x51eba0c2: Armor_004_Lower
0x312e047d: Armor_004_Upper
0x6fb4beb6: Armor_005
0x18fccc00: Armor_005_Head
0xf79cab76: Armor_005_Lower
0x97590fc9: Armor_005_Upper
0xf6bdef0c: Armor_006
0x9e68beae: Armor_006_Head
0xc674b1eb: Armor_006_Lower
0xa6b11554: Armor_006_Upper
0x55346d0b: Armor_007_Head
0x6003ba5f: Armor_007_Lower
0x00c61ee0: Armor_007_Upper
0x1105c20b: Armor_008
0xa462dfde: Armor_008_Head
0x964bcab6: Armor_008_Lower
0xf68e6e09: Armor_008_Upper
0x6602f29d: Armor_009
0x6f3e0c7b: Armor_009_Head
0x303cc102: Armor_009_Lower
0x50f965bd: Armor_009_Upper
0x251a85a2: Armor_011_Head
0xcf798ffb: Armor_011_Lower
0xafbc2b44: Armor_011_Upper
0xe8cb1a54: Armor_012
0xa38ef70c: Armor_012_Head
0xf24da95f: Armor_012_Head_A
0x6b44f8e5: Armor_012_Head_B
0xfe919566: Armor_012_Lower
0x9e5431d9: Armor_012_Upper
0x01a8bf61: Armor_014
0x75d71411: Armor_014_Head
0x9d41a05c: Armor_014_Lower
0xfd8404e3: Armor_014_Upper
0xbe8bc7b4: Armor_015_Head
0x6181f1fc: Armor_015_Head_B
0x3b36abe8: Armor_015_Lower
0x5bf30f57: Armor_015_Upper
0x98a1eedb: Armor_017
0xf34366bf: Armor_017_Head
0xaca9bac1: Armor_017_Lower
0xcc6c1e7e: Armor_017_Upper
0x2de828bb: Armor_020
0xdfae4c9a: Armor_020_Head
0xe78183ac: Armor_020_Lower
0x87442713: Armor_020_Upper
0x5aef182d: Armor_021
0x14f29f3f: Armor_021_Head
0x41f68818: Armor_021_Lower
0x21332ca7: Armor_021_Upper
0xc3e64997: Armor_022
0x9266ed91: Armor_022_Head
0xcbc0959a: Armor_022_Head_A
0x52c9c420: Armor_022_Head_B
0x2a85eca2: Armor_024
0x443f0e8c: Armor_024_Head
0x5d82dc34: Armor_025
0x8f63dd29: Armor_025_Head
0xc48b8d8e: Armor_026
0x09f7af87: Armor_026_Head
0xb38cbd18: Armor_027
0xc2ab7c22: Armor_027_Head
0x2333a089: Armor_028
0x33fdcef7: Armor_028_Head
0x5434901f: Armor_029
0xf8a11d52: Armor_029_Head
0x34f319fa: Armor_030
0x79d9472e: Armor_030_Head
0x2b2b8332: Armor_030_Lower
0x4bee278d: Armor_030_Upper
0x2914d69d: Armor_035_Head
0x7913ac95: Armor_035_Lower
0x19d6082a: Armor_035_Upper
0xaf80a433: Armor_036_Head
0x48fbb608: Armor_036_Lower
0x283e12b7: Armor_036_Upper
0x64dc7796: Armor_037_Head
0xee8cbdbc: Armor_037_Lower
0x8e491903: Armor_037_Upper
0x5ed616e6: Armor_039_Head
0xbeb3c6e1: Armor_039_Lower
0xde76625e: Armor_039_Upper
0xbc7e79a0: Armor_040_Head
0x21ee8a2b: Armor_040_Lower
0x412b2e94: Armor_040_Upper
0xf1b6d8ab: Armor_042_Head
0x21d3bdaa: Armor_042_Head_B
0xb6719b02: Armor_042_Lower
0xd6b43fbd: Armor_042_Upper
0xe2bbde87: Armor_043
0x100690b6: Armor_043_Lower
0x70c33409: Armor_043_Upper
0x7cdf4b24: Armor_044
0xb5640a87: Armor_044_Upper
0x0bd87bb2: Armor_045
0xecb3e813: Armor_045_Head
0x92d12a08: Armor_046
0x6a279abd: Armor_046_Head
0x423ebf11: Armor_046_Lower
0x22fb1bae: Armor_046_Upper
0x7569070f: Armor_048
0x502dfbcd: Armor_048_Head
0x1201c44c: Armor_048_Lower
0x72c460f3: Armor_048_Upper
0x026e3799: Armor_049
0xb476cff8: Armor_049_Lower
0xfba0efc6: Armor_053
0x9c9d00ba: Armor_053_Head
0xdcac9028: Armor_053_Lower
0xbc693497: Armor_053_Upper
0x12c34af3: Armor_055
0x4ac4e3a7: Armor_055_Head
0x8bca1b49: Armor_056
0xcc509109: Armor_056_Head
0x2be16889: Armor_060_Head
0x63cb8d56: Armor_060_Lower
0x030e29e9: Armor_060_Upper
0xe0bdbb2c: Armor_061_Head
0xc5bc86e2: Armor_061_Lower
0xa579225d: Armor_061_Upper
0x6629c982: Armor_062_Head
0xf4549c7f: Armor_062_Lower
0x949138c0: Armor_062_Upper
0xad751a27: Armor_063_Head
0x522397cb: Armor_063_Lower
0x32e63374: Armor_063_Upper
0xb0702a9f: Armor_064_Head
0x9784a945: Armor_064_Lower
0xf7410dfa: Armor_064_Upper
0x7b2cf93a: Armor_065_Head
0x31f3a2f1: Armor_065_Lower
0x5136064e: Armor_065_Upper
0xfdb88b94: Armor_066_Head
0x001bb86c: Armor_066_Lower
0x60de1cd3: Armor_066_Upper
0x36e45831: Armor_067_Head
0xa66cb3d8: Armor_067_Lower
0xc6a91767: Armor_067_Upper
0x46cab098: Armor_071_Head
0x0916867c: Armor_071_Lower
0x69d322c3: Armor_071_Upper
0xc05ec236: Armor_072_Head
0x38fe9ce1: Armor_072_Lower
0x583b385e: Armor_072_Upper
0x0b021193: Armor_073_Head
0x9e899755: Armor_073_Lower
0xfe4c33ea: Armor_073_Upper
0x1607212b: Armor_074_Head
0x5b2ea9db: Armor_074_Lower
0x3beb0d64: Armor_074_Upper
0xdd5bf28e: Armor_075_Head
0xfd59a26f: Armor_075_Lower
0x9d9c06d0: Armor_075_Upper
0x5bcf8020: Armor_076_Head
0xccb1b8f2: Armor_076_Lower
0xac741c4d: Armor_076_Upper
0x90935385: Armor_077_Head
0x50be8f0b: Armor_077_Head_B
0x6ac6b346: Armor_077_Lower
0x0a0317f9: Armor_077_Upper
0x61c5e150: Armor_078_Head
0x899e9da7: Armor_078_Head_B
0x9c8ec3af: Armor_078_Lower
0xfc4b6710: Armor_078_Upper
0xaa9932f5: Armor_079_Head
0x45349d39: Armor_079_Head_B
0x3af9c81b: Armor_079_Lower
0x5a3c6ca4: Armor_079_Upper
0xfd4a617a: Armor_083_Head
0x47a985f9: Armor_083_Lower
0x276c2146: Armor_083_Upper
0xe04f51c2: Armor_084_Head
0x820ebb77: Armor_084_Lower
0xe2cb1fc8: Armor_084_Upper
0x2b138267: Armor_085_Head
0x2479b0c3: Armor_085_Lower
0x44bc147c: Armor_085_Upper
0xad87f0c9: Armor_086_Head
0x1591aa5e: Armor_086_Lower
0x75540ee1: Armor_086_Upper
0x66db236c: Armor_087_Head
0xb3e6a1ea: Armor_087_Lower
0xd3230555: Armor_087_Upper
0x978d91b9: Armor_088_Head
0x45aed103: Armor_088_Lower
0x256b75bc: Armor_088_Upper
0x5cd1421c: Armor_089_Head
0xe3d9dab7: Armor_089_Lower
0x831c7e08: Armor_089_Upper
0xdda91860: Armor_090_Head
0xbaeb9ffa: Armor_090_Lower
0xda2e3b45: Armor_090_Upper
0x8d6489d3: Armor_095_Head
0xe8d3b05d: Armor_095_Lower
0x881614e2: Armor_095_Upper
0x0bf0fb7d: Armor_096_Head
0xd93baac0: Armor_096_Lower
0xb9fe0e7f: Armor_096_Upper
0xc0ac28d8: Armor_097_Head
0x7f4ca174: Armor_097_Lower
0x1f8905cb: Armor_097_Upper
0x31fa9a0d: Armor_098_Head
0x8904d19d: Armor_098_Lower
0xe9c17522: Armor_098_Upper
0xfaa649a8: Armor_099_Head
0x2f73da29: Armor_099_Lower
0x4fb67e96: Armor_099_Upper
0x849b5d2d: Armor_100_Head
0xb2df9092: Armor_100_Lower
0xd21a342d: Armor_100_Upper
0x4fc78e88: Armor_101_Head
0x14a89b26: Armor_101_Lower
0x746d3f99: Armor_101_Upper
0xc953fc26: Armor_102_Head
0x254081bb: Armor_102_Lower
0x45852504: Armor_102_Upper
0x020f2f83: Armor_103_Head
0x83378a0f: Armor_103_Lower
0xe3f22eb0: Armor_103_Upper
0x1f0a1f3b: Armor_104_Head
0x4690b481: Armor_104_Lower
0x2655103e: Armor_104_Upper
0xd456cc9e: Armor_105_Head
0xe0e7bf35: Armor_105_Lower
0x80221b8a: Armor_105_Upper
0x52c2be30: Armor_106_Head
0xd10fa5a8: Armor_106_Lower
0xb1ca0117: Armor_106_Upper
0xe9b0853c: Armor_111_Head
0xd8029bb8: Armor_111_Lower
0xb8c73f07: Armor_111_Upper
0x6f24f792: Armor_112_Head
0xe9ea8125: Armor_112_Lower
0x892f259a: Armor_112_Upper
0xa4782437: Armor_113_Head
0x4f9d8a91: Armor_113_Lower
0x2f582e2e: Armor_113_Upper
0xb97d148f: Armor_114_Head
0x8a3ab41f: Armor_114_Lower
0xeaff10a0: Armor_114_Upper
0x776de5c0: Armor_115
0x7221c72a: Armor_115_Head
0xee64b47a: Armor_116
0x7d600189: Armor_116_Upper
0x3fe96621: Armor_117_Head
0xcebfd4f4: Armor_118_Head
0x05e30751: Armor_119_Head
0x13044c04: Armor_120_Head
0xd8589fa1: Armor_121_Head
0x5ecced0f: Armor_122_Head
0x95903eaa: Armor_123_Head
0x88950e12: Armor_124_Head
0x43c9ddb7: Armor_125_Head
0xc55daf19: Armor_126_Head
0x0e017cbc: Armor_127_Head
0xff57ce69: Armor_128_Head
0x340b1dcc: Armor_129_Head
0xb57347b0: Armor_130_Head
0x7e2f9415: Armor_131_Head
0xf8bbe6bb: Armor_132_Head
0x33e7351e: Armor_133_Head
0x2ee205a6: Armor_134_Head
0xe5bed603: Armor_135_Head
0x632aa4ad: Armor_136_Head
0xa8767708: Armor_137_Head
0x5920c5dd: Armor_138_Head
0x927c1678: Armor_139_Head
0x70d4793e: Armor_140_Head
0x36959e68: Armor_140_Lower
0x0d77d59c: Armor_141
0x90e295dc: Armor_141_Lower
0x65bf74b0: Armor_148_Upper
0xc3c87f04: Armor_149_Upper
0x9afa3a49: Armor_150_Upper
0x3c8d31fd: Armor_151_Upper
0x6da08fdf: Armor_152_Lower
0xcbd7846b: Armor_153_Lower
0x0e70bae5: Armor_154_Lower
0xa807b151: Armor_155_Lower
0x99efabcc: Armor_156_Lower
0x3f98a078: Armor_157_Lower
0xc9d0d091: Armor_158_Lower
0x6fa7db25: Armor_159_Lower
0x48468788: Armor_160
0xe74b6817: Armor_160_Head
0x74b09915: Armor_160_Lower
0x14753daa: Armor_160_Upper
0x515db6c9: Armor_170
0xd8df3d34: Armor_170_Upper
0x265a865f: Armor_171
0x8a60b006: Armor_171_Head
0x1e6d923f: Armor_171_Lower
0x7ea83680: Armor_171_Upper
0xbf53d7e5: Armor_172
0x0cf4c2a8: Armor_172_Head
0xc854e773: Armor_173
0xc7a8110d: Armor_173_Head
0x563072d0: Armor_174
0xdaad21b5: Armor_174_Head
0x4c55bd98: Armor_174_Lower
0x2c901927: Armor_174_Upper
0xb83e13fc: Armor_176
0x976580be: Armor_176_Head
0x1c5a9e57: Armor_200
0x0a145ace: Armor_200_Head
0x8b52ac57: Armor_200_Lower
0xeb9708e8: Armor_200_Upper
0xc148896b: Armor_201_Head
0x2d25a7e3: Armor_201_Lower
0x4de0035c: Armor_201_Upper
0x47dcfbc5: Armor_202_Head
0x1ccdbd7e: Armor_202_Lower
0x7c0819c1: Armor_202_Upper
0x8c802860: Armor_203_Head
0xbabab6ca: Armor_203_Lower
0xda7f1275: Armor_203_Upper
0x918518d8: Armor_204_Head
0x7f1d8844: Armor_204_Lower
0x1fd82cfb: Armor_204_Upper
0x6c306ad8: Armor_205
0x5ad9cb7d: Armor_205_Head
0xd96a83f0: Armor_205_Lower
0xb9af274f: Armor_205_Upper
0xdc4db9d3: Armor_206_Head
0xe882996d: Armor_206_Lower
0x88473dd2: Armor_206_Upper
0x17116a76: Armor_207_Head
0x4ef592d9: Armor_207_Lower
0x2e303666: Armor_207_Upper
0xe647d8a3: Armor_208_Head
0xb8bde230: Armor_208_Lower
0xd878468f: Armor_208_Upper
0x2d1b0b06: Armor_209_Head
0x1ecae984: Armor_209_Lower
0x7e0f4d3b: Armor_209_Upper
0x0541af16: Armor_210
0xac63517a: Armor_210_Head
0x47f8acc9: Armor_210_Lower
0x273d0876: Armor_210_Upper
0x673f82df: Armor_211_Head
0xe18fa77d: Armor_211_Lower
0x814a03c2: Armor_211_Upper
0xe1abf071: Armor_212_Head
0xd067bde0: Armor_212_Lower
0xb0a2195f: Armor_212_Upper
0x2af723d4: Armor_213_Head
0x7610b654: Armor_213_Lower
0x16d512eb: Armor_213_Upper
0x37f2136c: Armor_214_Head
0xb3b788da: Armor_214_Lower
0xd3722c65: Armor_214_Upper
0x752b5b99: Armor_215
0xfcaec0c9: Armor_215_Head
0x15c0836e: Armor_215_Lower
0x750527d1: Armor_215_Upper
0x7a3ab267: Armor_216_Head
0x242899f3: Armor_216_Lower
0x44ed3d4c: Armor_216_Upper
0xb16661c2: Armor_217_Head
0x825f9247: Armor_217_Lower
0xe29a36f8: Armor_217_Upper
0x4030d317: Armor_218_Head
0x7417e2ae: Armor_218_Lower
0x14d24611: Armor_218_Upper
0x8b6c00b2: Armor_219_Head
0xd260e91a: Armor_219_Lower
0xb2a54da5: Armor_219_Upper
0x2e6cfcd5: Armor_220
0x9d8b4be7: Armor_220_Head
0x8d1042da: Armor_220_Head_A
0x14191360: Armor_220_Head_B
0x56d79842: Armor_221_Head
0xd8b313fe: Armor_221_Head_B
0xd043eaec: Armor_222_Head
0x563c141d: Armor_222_Head_B
0x1b1f3949: Armor_223_Head
0x9a961483: Armor_223_Head_B
0x061a09f1: Armor_224_Head
0x90531d9a: Armor_224_Head_B
0x5e06085a: Armor_225
0xcd46da54: Armor_225_Head
0x9b4f848d: Armor_225_Lower
0xfb8a2032: Armor_225_Upper
0x4bd2a8fa: Armor_226_Head
0xaaa79e10: Armor_226_Lower
0xca623aaf: Armor_226_Upper
0x808e7b5f: Armor_227_Head
0x0cd095a4: Armor_227_Lower
0x6c15311b: Armor_227_Upper
0x71d8c98a: Armor_228_Head
0xfa98e54d: Armor_228_Lower
0x9a5d41f2: Armor_228_Upper
0xba841a2f: Armor_229_Head
0x5cefeef9: Armor_229_Lower
0x3c2a4a46: Armor_229_Upper
0x3777cd94: Armor_230
0x3bfc4053: Armor_230_Head
0x05ddabb4: Armor_230_Lower
0x65180f0b: Armor_230_Upper
0xf0a093f6: Armor_231_Head
0xa3aaa000: Armor_231_Lower
0xc36f04bf: Armor_231_Upper
0x7634e158: Armor_232_Head
0x9242ba9d: Armor_232_Lower
0xf2871e22: Armor_232_Upper
0xbd6832fd: Armor_233_Head
0x3435b129: Armor_233_Lower
0x54f01596: Armor_233_Upper
0xa06d0245: Armor_234_Head
0xf1928fa7: Armor_234_Lower
0x91572b18: Armor_234_Upper
0x191588d2: Armor_500
0x00d153d7: Armor_500_Head
0xef33c19e: Armor_500_Lower
0x8ff66521: Armor_500_Upper
0x6e12b844: Armor_501
0xcb8d8072: Armor_501_Head
0x4944ca2a: Armor_501_Lower
0x29816e95: Armor_501_Upper
0xf71be9fe: Armor_502
0x18697408: Armor_502_Upper
0xff6e7901: Armor_Default
0x6075c98c: Armor_Default_Extra_00
0x1772f91a: Armor_Default_Extra_01
0xa0def447: Armor_Default_Head
0x1f9c5d7d: Armor_Default_Lower
0x7f59f9c2: Armor_Default_Upper
0xf0ef67d6: Armor_Head_MetalHeavy
0xe1c4417e: Armor_Head_MetalLight
0x6e66ac5f: Armor_Head_SpecialBokoblin
0x3e85cc43: Armor_Head_SpecialKorok
0xb792ddb2: Armor_Head_SpecialLizalfos
0x88603f2d: Armor_Head_SpecialLynel
0x1cdf1800: Armor_Head_SpecialMoriblin
0x82a58ce3: Armor_Head_StoneHeavy
0x12055f20: Armor_Lower_MetalHeavy
0x032e7988: Armor_Lower_MetalLight
0x604fb415: Armor_Lower_StoneHeavy
0x5c7e9972: Armor_Upper_MetalHeavy
0x4d55bfda: Armor_Upper_MetalLight
0x2e347247: Armor_Upper_StoneHeavy
0x5c37d6af: armorDefenceAddLevel
0x89c9eced: armorEffectAncientPowUp
0x08a4918e: armorEffectEffectLevel
0x100d51e5: armorEffectEffectType
0x57800eaa: armorEffectEnableClimbWaterfall
0x088d0857: armorEffectEnableSpinAttack
0x2ecde6ee: ArmorExtra0
0x59cad678: ArmorExtra1
0xc0c387c2: ArmorExtra2
0x77c130bc: ArmorHead
0x3e60535a: armorHeadMantleType
0x3524692d: ArmorLower
0x5230a2ec: armorNextRankName
0x4d3f20f1: ArmorProcessingEventTag
0xdb7fe0e9: armorStarNum
0x55e1cd92: ArmorUpper
0x8fc71f58: armorUpperDisableSelfMantle
0xb6893644: armorUpperUseMantleType
0x19f6c13a: Arrow
0xecbfd593: arrowArrowDeletePer
0x28efa77f: arrowArrowNum
0x808c7dc8: arrowDeleteTime
0xeb49d329: arrowDeleteTimeWithChemical
0x8ada6fcb: arrowEnemyShootNumForDelete
0x81086702: ArrowRainChild
0x54dd0b3f: AscendingCurrent
0x62c8fd90: AscendingCurrent_100enemy
0x139ad55a: AscendingCurrent_DeathMT
0x57cedc75: AscendingCurrent_FireRelic_Battle
0x55e53df9: AscendingCurrent_FireRelic_Storage
0xcc7b85af: AscendingCurrent_FlightTraining
0x7e2cdcff: AscendingCurrent_GanonBeast
0xc5bafc52: AscendingCurrent_GanonBeastBeam
0x6192c2b1: AscendingCurrent_GuardianMini
0x36d5888a: AscendingCurrent_InRemains
0x24e4a8e2: AscendingCurrent_Lanayru_DragonBattle
0xb8ff9490: AscendingCurrent_PlayerKago
0x716052f5: AscendingCurrent_Side
0x9a2dd77b: AscendingCurrent_Slant
0x67e6389d: AscendingCurrent_Slow
0xd9a83331: AscendingCurrent_WindRelic_Main
0x981c8010: AscendingCurrent_WindRelic_Top
0x4579b3f4: Assassin
0xa7b44669: Assassin_Boss
0x282624b7: Assassin_Boss_Ball_Rock
0x827a91fe: Assassin_Boss_Ball_Spike
0x603e7ed3: Assassin_Boss_BigBall
0x43f642d2: Assassin_Junior
0x5f1b5dc2: Assassin_Leader
0x3478adda: Assassin_Middle
0x07cf8603: Assassin_Senior
0x15ae9a27: Assassin_Shooter_Junior
0xd4614fca: AssassinIronBall
0x4c9bd0b2: AssassinRockBall
0x96a277d1: AssassinWindCutter
0xcccdcfc2: AttackGrave
0xc0759f52: attackPower
0x560b5c09: AttackUp
0xe1f5b965: Aurora
