"uint", "hex", "value"
63883848, "0x03ceca48", "1GPilotBoard"
338585347, "0x142e6703", "1stPlayable"
438700054, "0x1a260816", "4"
2642627385, "0x9d834b39", "::StateID_Active"
1114910907, "0x427430bb", "::StateID_Field"
1443818873, "0x560eed79", "::StateID_FileSelect"
3297842919, "0xc49116e7", "::StateID_Initial"
2082999197, "0x7c280b9d", "::StateID_LunchTitle"
4275119095, "0xfed123f7", "::StateID_Move"
2339503528, "0x8b71fda8", "::StateID_NewSave"
846964306, "0x327ba652", "::StateID_PatchError"
3699149994, "0xdc7c8caa", "::StateID_ShowAocBelowCurrentVersion"
1897054956, "0x7112c2ec", "::StateID_ShowDLCWindow"
3272544133, "0xc30f0f85", "::StateID_ShowHardModeSaveDataError"
2866993816, "0xaae2da98", "::StateID_StageMgr"
507065994, "0x1e39368a", "::StateID_StageSelect"
3084622893, "0xb7db9c2d", "::StateID_StageTransition"
450007926, "0x1ad29376", "::StateID_WaitForStageBegin"
3585466520, "0xd5b5e098", "@P"
3884155418, "0xe783821a", "@R"
1769051368, "0x697194e8", "@RL"
927751340, "0x374c5cac", "[ %d(%d) %f ]"
3711983368, "0xdd405f08", "[%d] : %f"
1941648663, "0x73bb3517", "_%02d"
1843921758, "0x6de8035e", "_%d"
1751877576, "0x686b87c8", "_%s"
4164968813, "0xf840616d", "_Awake"
2740836577, "0xa35dd8e1", "_DistanceView"
1993866139, "0x76d7fb9b", "_Far"
3291157525, "0xc42b1415", "_Guard_"
501455835, "0x1de39bdb", "_HeapMeasure"
1028420878, "0x3d4c750e", "_Moss"
3261626342, "0xc26877e6", "_OpenScaleLevel"
3523102932, "0xd1fe48d4", "_Rain"
322871147, "0x133e9f6b", "_Sand"
321337383, "0x13273827", "_Sleep"
27073434, "0x019d1b9a", "_SmallKeyNum"
728802456, "0x2b70a498", "_Snow"
498983491, "0x1dbde243", "_Stump"
612913816, "0x24885298", "_Trunk"
1215202725, "0x486e85a5", "A"
3576990070, "0xd5348976", "aabbMax"
3351211289, "0xc7bf6d19", "aabbMin"
4172977196, "0xf8ba942c", "ABDIJK"
252700591, "0x0f0fe7af", "AbsorpDist"
3846629732, "0xe546e964", "Accel"
201030511, "0x0bfb7b6f", "AccelerateInputDelayGear0"
316688942, "0x12e04a2e", "AccelerateInputDelayGear1"
969742829, "0x39cd19ed", "AccelerateInputDelayGear2"
550906028, "0x20d628ac", "AccelerateInputDelayGear3"
1373192111, "0x51d93faf", "AccelerateInputDelayGearTop"
1001053111, "0x3baadbb7", "AccelerateInputThreshold"
1697515535, "0x652e080f", "AccelRate"
2596974571, "0x9acaafeb", "Accept1FrameDelay"
1217661825, "0x48940b81", "AcceptableRadius"
2372073227, "0x8d62f70b", "Access_AllTerminalElectric"
2087437572, "0x7c6bc504", "Access_AllTerminalFire"
263298962, "0x0fb19f92", "Access_AllTerminalWater"
768348259, "0x2dcc1063", "Access_AllTerminalWind"
2040632562, "0x79a194f2", "AccInputIgnoreFramesGear0"
1622844851, "0x60baa5b3", "AccInputIgnoreFramesGear1"
1268250224, "0x4b97f670", "AccInputIgnoreFramesGear2"
1384957745, "0x528cc731", "AccInputIgnoreFramesGear3"
2776843851, "0xa583464b", "AccInputIgnoreFramesGearTop"
264293531, "0x0fc0cc9b", "AccountMiiName"
4286859974, "0xff844ac6", "AccRateMax"
3977227945, "0xed0faea9", "AccRateMin"
2401590489, "0x8f255cd9", "AccRatio"
464658715, "0x1bb2211b", "AccSpeed"
2608536641, "0x9b7b1c41", "ACEMHJ"
1420097881, "0x54a4f959", "Act_Ball_Jump"
1455682357, "0x56c3f335", "Act_GdQueen_Sit"
1553797583, "0x5c9d11cf", "Act_SitChair_Wait"
2771977614, "0xa539058e", "Act_Sketch"
4198607054, "0xfa41a8ce", "Act_Squat"
1669653020, "0x6384e21c", "Act_Wander"
3811312107, "0xe32c01eb", "Action"
962526810, "0x395efe5a", "Action1"
2633580286, "0x9cf93efe", "Action10"
309570969, "0x1273ad99", "Action2"
191405272, "0x0b689cd8", "Action3"
1143540255, "0x44290a1f", "Action4"
1563573086, "0x5d323b5e", "Action5"
1981769885, "0x761f689d", "Action6"
1862556124, "0x6f0459dc", "Action7"
3902555411, "0xe89c4513", "Action8"
4052186194, "0xf1877452", "Action9"
10282021, "0x009ce425", "action::SwitchPlayerEquipment"
3450486720, "0xcdaa3fc0", "ActionBaseTime"
2955187929, "0xb02496d9", "ActionDir"
2098624058, "0x7d16763a", "ActionDist"
3077827358, "0xb773eb1e", "ActionName"
26478946, "0x01940962", "ActionRate"
1486310610, "0x58974cd2", "ActionTime"
3678866134, "0xdb470ad6", "ActionTimePlay"
3955848557, "0xebc9756d", "ActivateXlinkEventName"
321863903, "0x132f40df", "Active"
208124288, "0x0c67b980", "Active_RemainsElectric"
2246385597, "0x85e51fbd", "Active_RemainsFire"
112837559, "0x06b9c3b7", "Active_RemainsFireBefore"
3186956896, "0xbdf51a60", "Active_RemainsWater"
3561147098, "0xd442cada", "Active_RemainsWind"
1009327160, "0x3c291c38", "ActiveAS"
2792238967, "0xa66e2f77", "ActMoveVec"
1995529332, "0x76f15c74", "ActName"
4049484875, "0xf15e3c4b", "Actor"
4105922481, "0xf4bb67b1", "ActorCaptureMgr"
3887640301, "0xe7b8aeed", "ActorDisplayRadius"
2626203026, "0x9c88ad92", "ActorGroupForObserveTag"
1686145429, "0x64808995", "ActorIgnoringCollision"
941354724, "0x381beee4", "ActorName"
2839204900, "0xa93ad424", "ActorName1"
2182580199, "0x821787e7", "ActorName2"
1046282741, "0x3e5d01f5", "ActorName: %s, now_hp: %d max_hp: %d"
1549907286, "0x5c61b556", "ActorName_SeakSensor_Slot0"
1165657111, "0x457a8417", "ActorName_SeakSensor_Slot1"
1851250644, "0x6e57d7d4", "ActorName_SeakSensor_Slot2"
2915909009, "0xadcd3d91", "ActorNameChin"
1114959222, "0x4274ed76", "ActorNameForOtherActor"
2038909628, "0x79874abc", "ActorNameRib1"
1386879359, "0x52aa197f", "ActorNameRib2"
1269901374, "0x4bb1283e", "ActorNameRib3"
82886393, "0x04f0bef9", "ActorNameRib4"
174335979, "0x0a6427eb", "ActorNum"
3299010043, "0xc4a2e5fb", "ActorObserverByActorTagTag"
3742349592, "0xdf0fb918", "ActorObserverByGroupTag"
3010962830, "0xb377a58e", "ActorObserverTag"
538305870, "0x2015e54e", "ActorOption"
1815334904, "0x6c33cff8", "ActorPowerScale"
1621824582, "0x60ab1446", "ActorRadius"
3719984166, "0xddba7426", "ActorReaction"
700052113, "0x29b9f291", "ActorRecreateTag"
768934408, "0x2dd50208", "Actors"
1912473009, "0x71fe05b1", "actorScale"
634893899, "0x25d7b64b", "ActorSpecify"
3556799286, "0xd4007336", "ActorTag"
2467835540, "0x93182e94", "ActorType"
4029425941, "0xf02c2915", "ActorViewer"
3844559390, "0xe527521e", "ActReset"
4192034490, "0xf9dd5eba", "AddAngle"
2345777035, "0x8bd1b78b", "AddAngleRateX"
3118978313, "0xb9e7d509", "AddAngleRateZ"
3464415869, "0xce7eca7d", "AddAtackPower"
3532941214, "0xd294679e", "AddAtkPower"
729697739, "0x2b7e4dcb", "AddAttackPower"
1360053625, "0x5110c579", "AddAutoPlacementCreator"
953307912, "0x38d25308", "AddAwarenessRangeType"
2493883928, "0x94a5a618", "AddCalcStickX"
1483169457, "0x58675eb1", "AddCautionLevelVal"
1506628574, "0x59cd53de", "AddCheckAngle"
1703280071, "0x6585fdc7", "addColorA"
1319677444, "0x4ea8ae04", "addColorB"
870275649, "0x33df5a41", "addColorG"
74103893, "0x046abc55", "addColorR"
456298095, "0x1b328e6f", "AddForceRecoverDamage"
1914425851, "0x721bd1fb", "AddForceRecoverHitNum"
3218194411, "0xbfd1bfeb", "AddForceRecoverTime"
2272463240, "0x87730988", "AdditionalAngleReduceRatio"
4294301310, "0xfff5d67e", "AdditionalPosReduceRatio"
2486423661, "0x9433d06d", "AdditionalResetActor"
619748241, "0x24f09b91", "AdditionalVelocityMax"
2144585833, "0x7fd3c869", "AdditionalWidth"
2192848206, "0x82b4354e", "AddLength"
3980162882, "0xed3c7742", "AddLinearImpulse"
3799283293, "0xe274765d", "AddLinearImpulseHorse"
2084550958, "0x7c3fb92e", "AddLinearImpulseRynel"
1102153304, "0x41b18658", "AddLinearImpulseSandworm"
455730932, "0x1b29e6f4", "AddLinearImpulseShakeOff"
1361887625, "0x512cc189", "AddLinearImpulseWindRemain"
3080063502, "0xb7960a0e", "AddLineCheckNavRadius"
2578465843, "0x99b04433", "AddNum"
348235427, "0x14c1a6a3", "AddParam"
107446813, "0x0667821d", "AddRate"
2763218296, "0xa4b35d78", "AddRollImpulse"
2482241186, "0x93f3fea2", "AddRollImpulseRynel"
257171808, "0x0f542160", "AddSensorOnLeave"
2690897929, "0xa063d809", "AddSpecialFlag"
3570407052, "0xd4d0168c", "AddSpeed"
2827168068, "0xa8832944", "AddSpeedLSword"
1058814061, "0x3f1c386d", "AddSpeedNSword"
2970513019, "0xb10e6e7b", "AddSpeedOther"
3321461338, "0xc5f97a5a", "AddSpeedSpear"
882176050, "0x3494f032", "AddStunTime"
1165746838, "0x457be296", "AddTargetDist"
3830016057, "0xe4496839", "AddTemperatureDay"
3452735695, "0xcdcc90cf", "AddTemperatureNight"
1600440237, "0x5f64c7ad", "AddTime"
1652016483, "0x6277c563", "AddTimeNearVacuuming"
4259783497, "0xfde72349", "AddTimeVacuuming"
2394469821, "0x8eb8b5bd", "AddVec"
2717451700, "0xa1f905b4", "AddYSpeed"
3969359156, "0xec979d34", "AdjustRadius"
2416357951, "0x9006b23f", "AfterDamageTimer"
3903643465, "0xe8acdf49", "AfterEscapeForceEndState"
2504268461, "0x95441aad", "AfterHellTimer"
1057713797, "0x3f0b6e85", "AfterImage0AppearFrame"
3031728121, "0xb4b47ff9", "AfterImage0Pos"
3801986816, "0xe29db700", "AfterImage1AppearFrame"
2312394313, "0x89d45649", "AfterImage1Pos"
2194481244, "0x82cd205c", "AfterPaooonTimer"
3765078753, "0xe06a8ae1", "AfterWaitTime"
1422905719, "0x54cfd177", "AglDebugCameraBoard"
3241958960, "0xc13c5e30", "AIDef_Game"
1970072607, "0x756cec1f", "Aim"
4148170424, "0xf7400eb8", "AimAngle"
1054662958, "0x3edce12e", "AimAngleAdd"
3337556204, "0xc6ef10ec", "AimAngleAddApplyAngle"
3957479642, "0xebe258da", "AimAngleAddApplySpeed"
2119028690, "0x7e4dcfd2", "AimDistOffset"
3859309380, "0xe6086344", "AimedAngle"
149292053, "0x08e60415", "AimEffectName"
3518050154, "0xd1b12f6a", "AimHorseLowerB"
2598794861, "0x9ae6766d", "AimHorseLowerBtoF"
3051219566, "0xb5ddea6e", "AimHorseLowerF"
1160538145, "0x452c6821", "AimHorseLowerTurnB"
557886757, "0x2140ad25", "AimHorseLowerTurnF"
3228687861, "0xc071ddf5", "AimHorseLowerWaitB"
2988996219, "0xb228767b", "AimPoint"
2165262647, "0x810f4937", "AimRange"
3662497422, "0xda4d468e", "AimSpeed"
3090604673, "0xb836e281", "Air"
4037473831, "0xf0a6f627", "AirOcta_Tag"
239486762, "0x0e46472a", "AirOctaDataMgr"
1106049360, "0x41ecf950", "AirOctarock"
4217213545, "0xfb5d9269", "AirThreshold"
3106456746, "0xb928c4aa", "AirWall"
223923715, "0x0d58ce03", "AirWallCollision"
3912119012, "0xe92e32e4", "AirWallCreature"
2316460893, "0x8a12635d", "AirWallCurseGanon"
3336735307, "0xc6e28a4b", "AirWallForE3"
821004491, "0x30ef88cb", "AirWallHorse"
2365937788, "0x8d05587c", "AirWallHorse_HiddnKorok"
993799257, "0x3b3c2c59", "AlarmLynelTag"
1083924022, "0x409b5e36", "AlarmPoint"
3711667927, "0xdd3b8ed7", "album"
1889640826, "0x70a1a17a", "AlbumInfo"
227950245, "0x0d963ea5", "AlbumPictureActorName"
2419074003, "0x903023d3", "AlbumPictureIndex"
2673875923, "0x9f601bd3", "AlbumPictureSize"
2202519485, "0x8347c7bd", "AlbumSaveDistrictName"
1342115156, "0x4fff0d54", "AlbumSaveLocationName"
3692489067, "0xdc16e96b", "AlertRange"
1745332575, "0x6807a95f", "AlertTime"
57493821, "0x036d493d", "AliveTime"
1790713781, "0x6abc1fb5", "All"
2265763922, "0x870cd052", "AllActionTime"
1584737479, "0x5e752cc7", "AllMaterialValue"
3496615856, "0xd06a1fb0", "AllOK"
1777773188, "0x69f6aa84", "AllowChangeableFrame"
1873222799, "0x6fa71c8f", "AllowMoveWaterDepth"
1765814144, "0x69402f80", "AllowPitchRotation"
3177118915, "0xbd5efcc3", "AllowRandAngleHorizontal"
2081172411, "0x7c0c2bbb", "AllowRandAngleVertical"
503940615, "0x1e098607", "AllowReturnThreatDist"
4207912394, "0xfacfa5ca", "AllowRoarRadius"
297651890, "0x11bdceb2", "AllowUpdateTimerLength"
886719326, "0x34da435e", "AllSpeed"
1327949240, "0x4f26e5b8", "AlphaLower"
1056047811, "0x3ef202c3", "AlphaOut"
3114172262, "0xb99e7f66", "AlphaSpeed"
915083199, "0x368b0fbf", "Amber"
1351979450, "0x509591ba", "Amiibo"
246183275, "0x0eac756b", "Amiibo2"
4107399528, "0xf4d1f168", "Amiibo_After"
2986616536, "0xb20426d8", "AmiiboCharacterId"
3669449552, "0xdab75b50", "AmiiboError"
2410237442, "0x8fa94e02", "AmiiboFirstHero"
36326369, "0x022a4be1", "AmiiboHit"
1206697341, "0x47ecbd7d", "AmiiboItemOnOff"
252036155, "0x0f05c43b", "AmiiboLastTouchDate"
3770704630, "0xe0c062f6", "AmiiboMajorasMask"
1409359558, "0x54011ec6", "AmiiboMarker_NG"
4185275389, "0xf9763bfd", "AmiiboMarker_OK"
2773448495, "0xa54f772f", "AmiiboMarker_Sign"
1764766047, "0x6930315f", "AmiiboMgr"
361304700, "0x1589127c", "AmiiboNumberingId"
3986545307, "0xed9dda9b", "AmiiboOcarinaOfTime"
77315923, "0x049bbf53", "AmiiboPreview"
543714561, "0x20686d01", "AmiiboSkywardSword"
133945519, "0x07fbd8af", "AmiiboSuccess"
475752615, "0x1c5b68a7", "AmiiboTouchHistory"
3575260425, "0xd51a2509", "AmiiboTouchHistoryTotal"
3307719868, "0xc527ccbc", "AmiiboTwilightPrincess"
2241574599, "0x859bb6c7", "AmiiboWindWaker"
1309440057, "0x4e0c7839", "AmountRupeeForNextRevivalFountain"
3979224735, "0xed2e269f", "AmountRupeeForRevivalFountain1"
3322115420, "0xc603755c", "AmountRupeeForRevivalFountain2"
3742909469, "0xdf18441d", "AmountRupeeForRevivalFountain3"
2421805786, "0x9059d2da", "AmountRupeeForRevivalFountain4"
2302862235, "0x8942e39b", "AmountRupeeForRevivalFountain5"
391219241, "0x17518829", "Amplitude"
261291365, "0x0f92fd65", "AmplitudeAddRate"
3789865440, "0xe1e4c1e0", "AmplitudeY"
3552142239, "0xd3b9639f", "Anchor"
3993429430, "0xee06e5b6", "AnchorAction1"
898812086, "0x3592c8b6", "AnchorAction10"
3184776034, "0xbdd3d362", "AnchorAction1_Rain"
3307976309, "0xc52bb675", "AnchorAction2"
2352728575, "0x8c3bc9ff", "AnchorAction2_Rain"
3694167860, "0xdc308734", "AnchorAction3"
709673547, "0x2a4cc24b", "AnchorAction3_Rain"
2473660915, "0x937111f3", "AnchorAction4"
4025220293, "0xefebfcc5", "AnchorAction4_Rain"
2322210994, "0x8a6a20b2", "AnchorAction5"
1235023729, "0x499cf771", "AnchorAction5_Rain"
2705814385, "0xa1477371", "AnchorAction6"
2020929004, "0x7874edec", "AnchorAction6_Rain"
3093054000, "0xb85c4230", "AnchorAction7"
1069833983, "0x3fc45eff", "AnchorAction8"
652177342, "0x26df6fbe", "AnchorAction9"
848465256, "0x32928d68", "AnchorName"
640684307, "0x26301113", "AnchorSleep"
1801736275, "0x6b645053", "AnchorUniqueName"
1937741666, "0x737f9762", "AnchorWander2_Rain"
151157999, "0x09027cef", "AnchorWander_Rain"
910476907, "0x3644c66b", "AnchorWork"
2766796445, "0xa4e9f69d", "Ancient"
3296355360, "0xc47a6420", "AncientArrow"
40483404, "0x0269ba4c", "AncientBall"
788514369, "0x2effc641", "AncientBall_Big"
483623789, "0x1cd3836d", "AncientBall_Kakariko"
3871426100, "0xe6c14634", "AncientBallBigForGyro"
116972062, "0x06f8da1e", "AncientBallBigForPutter"
2008687540, "0x77ba23b4", "AncientBallForGyro"
3380121821, "0xc97890dd", "AncientBallNewBig"
32561604, "0x01f0d9c4", "AncientBallSwitch"
3107998744, "0xb9404c18", "AncientBallSwitch2"
624324588, "0x25366fec", "AncientBallSwitchinRemains"
3944608729, "0xeb1df3d9", "AncientLabo_NPC002_Son"
1286027844, "0x4ca73a44", "Angle"
2717826965, "0xa1febf95", "AngleAccRatio"
618150331, "0x24d839bb", "AngleDir"
483601517, "0x1cd32c6d", "AngleLimit"
2791572844, "0xa664056c", "AngleOffsetY"
1586341299, "0x5e8da5b3", "AngleRange"
921284582, "0x36e9afe6", "AngleReduceRatio"
348480523, "0x14c5640b", "AngleReqBeginAttackAnimationMax"
105807972, "0x064e8064", "AngleReqBeginAttackAnimationMin"
97495562, "0x05cfaa0a", "AngleSpeed"
988570854, "0x3aec64e6", "AngleToTarget"
2894161062, "0xac8164a6", "AngleTurnToPlayer"
3131736272, "0xbaaa80d0", "AngleVelocityControlAccelDeg"
68821610, "0x041a226a", "angleX"
3698961397, "0xdc79abf5", "AngleXZ"
486609707, "0x1d01132b", "angleY"
3535547063, "0xd2bc2ab7", "AngleY"
612610045, "0x2483affd", "AngRate"
3237680045, "0xc0fb13ad", "AngReduceRatio"
3027388460, "0xb472482c", "AngReduceRatioForSlip"
3160992099, "0xbc68e963", "Angry"
183626597, "0x0af1eb65", "AngSpd"
2514677259, "0x95e2ee0b", "AngularDamping"
2437460770, "0x9148b322", "AngularRange"
3389701275, "0xca0abc9b", "AngularSpeed"
264768143, "0x0fc80a8f", "Anim"
1879611865, "0x700899d9", "Animal"
3963190140, "0xec397b7c", "Animal_Bass"
3555354052, "0xd3ea65c4", "Animal_Bass_L"
1709353588, "0x65e2aa74", "Animal_Bear"
1598683672, "0x5f49fa18", "Animal_Bear_A"
1952754139, "0x7464a9db", "Animal_Bear_B"
2919652201, "0xae065b69", "Animal_Bear_GrabbedModel"
1739325054, "0x67abfe7e", "Animal_Bee"
1483192683, "0x5867b96b", "Animal_Beetle"
35403033, "0x021c3519", "Animal_Beetle_Gold"
174017040, "0x0a5f4a10", "Animal_Boar"
4275231102, "0xfed2d97e", "Animal_Boar_A"
3590294205, "0xd5ff8abd", "Animal_Boar_B"
3437542396, "0xcce4bbfc", "Animal_Boar_C"
3915534695, "0xe9625167", "Animal_Bull"
348724382, "0x14c91c9e", "Animal_Bull_A"
2585338945, "0x9a192441", "Animal_Butterfly"
4223036216, "0xfbb66b38", "Animal_Carp"
2843832640, "0xa9817140", "Animal_Cassowary"
4116893392, "0xf562ced0", "Animal_Cassowary_A"
2859756574, "0xaa746c1e", "Animal_Cow"
2992427302, "0xb25cd126", "Animal_Cow_A"
3750690483, "0xdf8efeb3", "Animal_Crab"
1390320545, "0x52de9ba1", "Animal_Crab_Silver"
3802477997, "0xe2a535ad", "Animal_Crow"
1862503900, "0x6f038ddc", "Animal_Crow_A"
646744086, "0x268c8816", "Animal_Crow_GlideModel"
4181600678, "0xf93e29a6", "Animal_Crow_Swarm"
1969756912, "0x75681af0", "Animal_Crow_Swarm_HeapMeasure"
3987470088, "0xedabf708", "Animal_Deer"
3373885922, "0xc91969e2", "Animal_Deer_A"
4214164320, "0xfb2f0b60", "Animal_Deer_C"
1430879882, "0x55497e8a", "Animal_Doe_A"
2103527158, "0x7d6146f6", "Animal_Dog"
4282430977, "0xff40b601", "Animal_Dog_A"
3563972034, "0xd46de5c2", "Animal_Dog_B"
3447116931, "0xcd76d483", "Animal_Dog_C"
203472701, "0x0c20bf3d", "Animal_Donkey"
939708606, "0x3802d0be", "Animal_Donkey_B"
555344383, "0x2119e1ff", "Animal_Donkey_C"
2508249398, "0x9580d936", "Animal_Dragonfly"
574584125, "0x223f753d", "Animal_Duck"
3899009848, "0xe8662b38", "Animal_Egret"
963289292, "0x396aa0cc", "Animal_Elk_A"
3396187920, "0xca6db710", "Animal_Fairy"
792836682, "0x2f41ba4a", "Animal_FemaleDeer"
2351481019, "0x8c28c0bb", "Animal_Firefly"
4181749097, "0xf9406d69", "Animal_Fish_A"
3530374826, "0xd26d3eaa", "Animal_Fish_B"
3413512171, "0xcb760feb", "Animal_Fish_C"
2218236204, "0x8437992c", "Animal_Fish_D"
2636949613, "0x9d2ca86d", "Animal_Fish_E"
3053583278, "0xb601fbae", "Animal_Fish_F"
2937768687, "0xaf1acaef", "Animal_Fish_G"
679663136, "0x2882d620", "Animal_Fish_H"
832169825, "0x3199e761", "Animal_Fish_I"
448050338, "0x1ab4b4a2", "Animal_Fish_J"
61834723, "0x03af85e3", "Animal_Fish_K"
1290670884, "0x4cee1324", "Animal_Fish_L"
1442128485, "0x55f52265", "Animal_Fish_M"
1648411761, "0x6240c471", "Animal_Fish_X"
1349953267, "0x5076a6f3", "Animal_Fish_Z"
439517411, "0x1a3280e3", "Animal_Fox"
3136442563, "0xbaf250c3", "Animal_Fox_A"
2447311616, "0x91df0300", "Animal_Fox_B"
1619503244, "0x6087a88c", "Animal_Frog"
68901695, "0x041b5b3f", "Animal_Frog_Demo"
2498061030, "0x94e562e6", "Animal_Goat"
2306976005, "0x8981a905", "Animal_Goat_A"
2729245382, "0xa2acfac6", "Animal_Goat_B"
2418452379, "0x9026a79b", "Animal_Goat_Cattle"
3103569439, "0xb8fcb61f", "Animal_Grasshopper"
562224663, "0x2182de17", "Animal_Gull"
1190212409, "0x46f13339", "Animal_Gull_A"
3009892581, "0xb36750e5", "Animal_Gull_Swarm"
3108452253, "0xb947379d", "Animal_Gull_Swarm_HeapMeasure"
597381976, "0x239b5358", "Animal_Hawk"
2719587703, "0xa2199d77", "Animal_Hawk_A"
3769921409, "0xe0b46f81", "Animal_Heron_A"
3415817282, "0xcb993c42", "Animal_Heron_B"
919981389, "0x36d5cd4d", "Animal_Horse_A"
63477757, "0x03c897fd", "Animal_Horse_Nushi"
1877202359, "0x6fe3d5b7", "Animal_Insect_A"
1949324711, "0x743055a7", "Animal_Insect_AA"
1595737700, "0x5f1d0664", "Animal_Insect_AB"
1154385524, "0x44ce8674", "Animal_Insect_B"
